particles,threads,median_ms_per_step,speedup_vs_1_thread,samples
100,1,0.1082,1.000,80
100,2,0.2538,0.426,80
100,4,0.3183,0.340,80
100,8,0.3497,0.309,80
100,16,0.5799,0.187,80
100,32,1.1141,0.097,80
100,64,1.8055,0.060,80
500,1,0.8736,1.000,80
500,2,0.7420,1.177,80
500,4,0.5857,1.491,80
500,8,0.5544,1.576,80
500,16,0.7234,1.208,80
500,32,1.1266,0.775,80
500,64,1.9045,0.459,80
1000,1,3.9673,1.000,80
1000,2,1.9611,2.023,80
1000,4,1.3030,3.045,80
1000,8,1.0590,3.746,80
1000,16,1.2714,3.120,80
1000,32,1.6424,2.416,80
1000,64,2.3792,1.667,80
2000,1,14.5096,1.000,80
2000,2,7.6198,1.904,80
2000,4,4.2852,3.386,80
2000,8,2.9931,4.848,80
2000,16,3.1289,4.637,80
2000,32,2.9463,4.925,80
2000,64,3.7857,3.833,80
3000,1,46.1076,1.000,80
3000,2,15.5968,2.956,80
3000,4,8.9646,5.143,80
3000,8,6.0535,7.617,80
3000,16,4.5364,10.164,80
3000,32,4.7035,9.803,80
3000,64,5.4286,8.493,80
